firstName,lastName,document,phoneNumber,email,residentType,unitName,idType,gender
José Camilo,Ortiz Rodríguez,287702972,3207743546,josé.ortiz535@example.com,TENANT,Torre 10 - Apto 105,CC,M
José Felipe,Jiménez Gómez,481631942,3239134516,josé.jiménez11@example.com,TENANT,Torre 3 - Apto 1505,CC,M
Isabella,Jiménez Castro,612226164,3177966296,isabella.jiménez969@example.com,FAMILY_MEMBER,Torre 4 - Apto 503,CC,F
Samuel Miguel,Díaz Torres,1001991637,3105944557,samuel.díaz24@example.com,TENANT,Torre 11 - Apto 1201,CC,M
Carolina,Díaz Daza,1175951869,3257371123,carolina.díaz172@example.com,OWNER,Torre 14 - Apto 1501,CC,F
Liliana Juliana,Gutiérrez Ruiz,177648677,3143608663,liliana.gutiérrez470@example.com,OWNER,Torre 8 - Apto 404,CC,F
Santiago,Aguilar Torres,794837155,3168180638,santiago.aguilar264@example.com,OWNER,Torre 2 - Apto 206,CC,M
Diana,Restrepo Daza,649489449,3147116510,diana.restrepo526@example.com,OWNER,Torre 7 - Apto 1402,CC,F
Laura Liliana,Torres González,494829687,3281664858,laura.torres208@example.com,TENANT,Torre 12 - Apto 1605,CC,F
Paola Claudia,Ruiz Ruiz,946811807,3149141219,paola.ruiz553@example.com,TENANT,Torre 13 - Apto 1505,CC,F
Sebastián,Cruz Díaz,35718570,3133088857,sebastián.cruz56@example.com,OWNER,Torre 15 - Apto 2501,CC,M
Sofía Gabriela,Jiménez Restrepo,1053559629,3229474392,sofía.jiménez627@example.com,FAMILY_MEMBER,Torre 10 - Apto 706,CC,F
Diego Felipe,Sánchez Silva,860004155,3225041092,diego.sánchez864@example.com,OWNER,Torre 11 - Apto 1706,CC,M
Carolina,Hernández Sánchez,1062445007,3248870421,carolina.hernández454@example.com,TENANT,Torre 1 - Apto 2106,CC,F
Tomás Samuel,Gutiérrez Morales,503914382,3254714045,tomás.gutiérrez503@example.com,OWNER,Torre 5 - Apto 604,CC,M
Mónica,González Restrepo,1139552528,3195764401,mónica.gonzález654@example.com,OWNER,Torre 11 - Apto 302,PA,F
Juan,Ruiz González,396360291,3197838017,juan.ruiz778@example.com,FAMILY_MEMBER,Torre 12 - Apto 2001,CC,M
Santiago,Rojas Hernández,985402436,3269634875,santiago.rojas194@example.com,OWNER,Torre 10 - Apto 301,CC,M
Isabella Mariana,Ortiz Castro,1083529005,3127197108,isabella.ortiz623@example.com,FAMILY_MEMBER,Torre 7 - Apto 1204,CC,F
Samuel Carlos,Osorio Medina,263479516,3147007692,samuel.osorio100@example.com,TENANT,Torre 14 - Apto 306,CC,M
Ana Ana,Restrepo Osorio,1147861222,3120057786,ana.restrepo660@example.com,FAMILY_MEMBER,Torre 14 - Apto 2402,CC,F
Carolina Gabriela,Pérez Daza,643220355,3118056306,carolina.pérez942@example.com,TENANT,Torre 7 - Apto 2303,CC,F
Paula Sandra,Ruiz Silva,84305716,3294465782,paula.ruiz678@example.com,OWNER,Torre 7 - Apto 1304,CC,F
Sebastián,Hernández Silva,149579217,3164580818,sebastián.hernández934@example.com,OWNER,Torre 14 - Apto 803,RC,M
Esteban Martín,Medina Aguilar,783995321,3234958709,esteban.medina514@example.com,TENANT,Torre 10 - Apto 1404,CC,M
Valentina,Silva Ríos,879743312,3132159060,valentina.silva958@example.com,TENANT,Torre 15 - Apto 2405,CC,F
Mateo,Castro Morales,894642568,3140044355,mateo.castro419@example.com,TENANT,Torre 2 - Apto 2402,CC,M
Tomás,Ortiz Torres,94270657,3123273253,tomás.ortiz415@example.com,FAMILY_MEMBER,Torre 3 - Apto 2005,CE,M
Ana,Sánchez Ortiz,427752988,3291923514,ana.sánchez673@example.com,OWNER,Torre 9 - Apto 506,CC,F
Laura Diana,Ramírez Vargas,1008549322,3138054665,laura.ramírez521@example.com,OWNER,Torre 9 - Apto 302,CC,F
Valentina Laura,Torres Chávez,718266251,3281331809,valentina.torres8@example.com,TENANT,Torre 10 - Apto 1003,CC,F
Mariana,Silva González,525532576,3129441648,mariana.silva13@example.com,FAMILY_MEMBER,Torre 1 - Apto 1406,CC,F
Sofía Isabella,Gutiérrez Silva,374707806,3221303955,sofía.gutiérrez420@example.com,OWNER,Torre 14 - Apto 506,CC,F
Alejandro Andrés,Silva Suárez,788591229,3170888641,alejandro.silva424@example.com,OWNER,Torre 9 - Apto 1701,CC,M
Claudia,Martínez Suárez,704133358,3247002825,claudia.martínez319@example.com,OWNER,Torre 11 - Apto 2201,PA,F
Samuel Camilo,Suárez Silva,53726460,3129083377,samuel.suárez553@example.com,TENANT,Torre 10 - Apto 1206,CC,M
Valentina Sandra,Gutiérrez López,680589126,3257527592,valentina.gutiérrez69@example.com,FAMILY_MEMBER,Torre 1 - Apto 601,CC,F
Juan Diego,López Daza,84356194,3293175672,juan.lópez872@example.com,TENANT,Torre 6 - Apto 1506,TI,M
Daniel Daniel,Herrera Pérez,97504069,3255416484,daniel.herrera400@example.com,FAMILY_MEMBER,Torre 5 - Apto 2205,CE,M
Claudia,Ramírez Reyes,382578005,3219392354,claudia.ramírez160@example.com,OWNER,Torre 15 - Apto 1804,CC,F
Natalia Mónica,Gómez Sánchez,1020125318,3249274475,natalia.gómez241@example.com,OWNER,Torre 4 - Apto 1505,CE,F
Daniel Nicolás,Daza González,639045521,3259816295,daniel.daza86@example.com,FAMILY_MEMBER,Torre 1 - Apto 1302,CC,M
José Luis,Ruiz Gutiérrez,223157259,3278287968,josé.ruiz820@example.com,OWNER,Torre 13 - Apto 1902,PA,M
Mónica Mónica,Ruiz Rojas,902010764,3118137929,mónica.ruiz451@example.com,OWNER,Torre 8 - Apto 705,CC,F
Juliana,Osorio Rojas,1085287715,3238396723,juliana.osorio632@example.com,FAMILY_MEMBER,Torre 9 - Apto 402,CC,F
Tomás Tomás,Romero Restrepo,883181252,3119273910,tomás.romero102@example.com,OWNER,Torre 10 - Apto 2504,CC,M
Diana,Pérez Castro,77039632,3160726223,diana.pérez140@example.com,FAMILY_MEMBER,Torre 6 - Apto 1801,CC,F
Sebastián Alejandro,Sánchez Restrepo,1148675499,3216948898,sebastián.sánchez8@example.com,FAMILY_MEMBER,Torre 4 - Apto 1805,TI,M
Paola Diana,Vargas Gutiérrez,714607917,3264603962,paola.vargas887@example.com,TENANT,Torre 2 - Apto 1704,CC,F
Diana Gabriela,Castro Romero,994823348,3178267608,diana.castro789@example.com,FAMILY_MEMBER,Torre 14 - Apto 202,CC,F
Liliana,Gómez Ortiz,349388111,3119004771,liliana.gómez291@example.com,OWNER,Torre 7 - Apto 2302,CC,F
Juan,Vargas Torres,1081910072,3296010378,juan.vargas755@example.com,TENANT,Torre 7 - Apto 905,CC,M
Samuel,Cruz Reyes,292699549,3239379344,samuel.cruz556@example.com,TENANT,Torre 3 - Apto 304,CC,M
Juan David,Aguilar Cruz,300557163,3294261093,juan.aguilar840@example.com,OWNER,Torre 12 - Apto 1705,CC,M
Paula Camila,Gómez López,589170173,3208650314,paula.gómez252@example.com,OWNER,Torre 7 - Apto 601,CC,F
Pedro Alejandro,Suárez Suárez,742237339,3106103950,pedro.suárez285@example.com,TENANT,Torre 12 - Apto 1304,CC,M
David,Martínez Hernández,83799044,3225868424,david.martínez582@example.com,OWNER,Torre 11 - Apto 2004,CC,M
Santiago,Rojas Romero,329689454,3164015972,santiago.rojas613@example.com,OWNER,Torre 3 - Apto 101,CC,M
Esteban Esteban,Suárez Medina,1126874044,3118395117,esteban.suárez212@example.com,TENANT,Torre 9 - Apto 504,CC,M
Sebastián,Martínez Aguilar,761125785,3139110309,sebastián.martínez672@example.com,TENANT,Torre 7 - Apto 2406,CC,M
Samuel,Díaz Pérez,832077517,3120040662,samuel.díaz45@example.com,OWNER,Torre 3 - Apto 906,CC,M
Daniel Sebastián,Hernández Suárez,1026491569,3179661144,daniel.hernández532@example.com,TENANT,Torre 8 - Apto 1806,CC,M
Luis Carlos,Aguilar Herrera,335239845,3274104210,luis.aguilar361@example.com,FAMILY_MEMBER,Torre 14 - Apto 1105,CC,M
Alejandro Esteban,Ramírez Gómez,662828150,3160468313,alejandro.ramírez222@example.com,TENANT,Torre 5 - Apto 2206,CE,M
Ana Liliana,Aguilar Martínez,704519503,3188088377,ana.aguilar360@example.com,TENANT,Torre 9 - Apto 1705,CC,F
Jorge,Ortiz Ortiz,358284031,3224417456,jorge.ortiz244@example.com,TENANT,Torre 3 - Apto 801,CC,M
Valentina Diana,Jiménez López,332896377,3235035477,valentina.jiménez732@example.com,TENANT,Torre 7 - Apto 2405,CC,F
Andrés,Romero Sánchez,636964662,3148916600,andrés.romero446@example.com,TENANT,Torre 5 - Apto 1802,PA,M
Pedro,Reyes Rodríguez,632581818,3247101283,pedro.reyes87@example.com,OWNER,Torre 10 - Apto 701,CC,M
Juan,Gutiérrez Ríos,984571239,3215683252,juan.gutiérrez62@example.com,TENANT,Torre 5 - Apto 101,CC,M
Mateo,Herrera Romero,1126825215,3166403553,mateo.herrera514@example.com,TENANT,Torre 2 - Apto 705,PA,M
Tomás Mateo,Martínez Ríos,593490527,3138910571,tomás.martínez429@example.com,FAMILY_MEMBER,Torre 8 - Apto 2402,CC,M
Camilo Carlos,Vargas Ortiz,932275378,3184245015,camilo.vargas139@example.com,OWNER,Torre 14 - Apto 802,CC,M
Mariana,González Gómez,836293136,3163783214,mariana.gonzález710@example.com,TENANT,Torre 7 - Apto 2406,CC,F
Camila Claudia,Martínez Rodríguez,243937373,3105463389,camila.martínez905@example.com,FAMILY_MEMBER,Torre 11 - Apto 1106,CC,F
Camilo,Rojas Jiménez,874742883,3214205223,camilo.rojas746@example.com,TENANT,Torre 5 - Apto 1304,CC,M
Santiago Esteban,López Reyes,814147459,3105522354,santiago.lópez620@example.com,FAMILY_MEMBER,Torre 13 - Apto 503,CC,M
Diego,Daza Rojas,275931816,3115572190,diego.daza288@example.com,TENANT,Torre 7 - Apto 304,CC,M
Valentina Sandra,Restrepo Daza,767597354,3153002772,valentina.restrepo847@example.com,TENANT,Torre 5 - Apto 1203,CE,F
Sandra Isabella,Hernández Medina,608002499,3201531536,sandra.hernández997@example.com,TENANT,Torre 15 - Apto 304,TI,F
Andrés,Torres Osorio,624936909,3163568129,andrés.torres580@example.com,OWNER,Torre 8 - Apto 1003,CC,M
Samuel David,Pérez Daza,649137169,3280756033,samuel.pérez686@example.com,OWNER,Torre 15 - Apto 601,CC,M
Andrés Mateo,Gutiérrez Morales,600904583,3152087492,andrés.gutiérrez165@example.com,OWNER,Torre 15 - Apto 1503,CC,M
Juliana,Restrepo Daza,444300983,3280952389,juliana.restrepo52@example.com,OWNER,Torre 13 - Apto 2005,CC,F
Jorge,Castro Pérez,622604045,3201583184,jorge.castro572@example.com,OWNER,Torre 4 - Apto 301,CC,M
Gabriela,Pérez Rojas,961192213,3162320245,gabriela.pérez470@example.com,TENANT,Torre 13 - Apto 106,CC,F
David,Gutiérrez Ríos,704286919,3204220327,david.gutiérrez207@example.com,OWNER,Torre 7 - Apto 1105,CC,M
Daniel Daniel,Rodríguez Reyes,291566441,3278914114,daniel.rodríguez918@example.com,TENANT,Torre 13 - Apto 2201,CC,M
Santiago Esteban,Silva Sánchez,617749401,3142185826,santiago.silva714@example.com,FAMILY_MEMBER,Torre 5 - Apto 1104,CE,M
Alejandro Carlos,Torres Silva,330235086,3244939285,alejandro.torres245@example.com,FAMILY_MEMBER,Torre 15 - Apto 2305,RC,M
Mariana,González Gutiérrez,264775525,3188696660,mariana.gonzález821@example.com,OWNER,Torre 2 - Apto 2202,PA,F
Gabriela Andrea,Ramírez Ruiz,1186195151,3165944593,gabriela.ramírez496@example.com,TENANT,Torre 9 - Apto 603,CE,F
Martín Diego,Pérez Jiménez,1055778047,3259044585,martín.pérez786@example.com,OWNER,Torre 14 - Apto 1705,CC,M
Juan Mateo,Sánchez Ríos,104745359,3214735119,juan.sánchez378@example.com,TENANT,Torre 1 - Apto 1904,PA,M
Mónica,Morales Gómez,555256066,3269997729,mónica.morales854@example.com,TENANT,Torre 12 - Apto 104,CC,F
Daniela Isabella,Cruz Pérez,953331429,3292222795,daniela.cruz685@example.com,TENANT,Torre 3 - Apto 1403,CC,F
Mónica Laura,González González,235869251,3258562045,mónica.gonzález8@example.com,TENANT,Torre 8 - Apto 403,CE,F
Mateo Nicolás,Chávez Gómez,918350200,3130862424,mateo.chávez848@example.com,FAMILY_MEMBER,Torre 1 - Apto 404,CC,M
Andrés Juan,Vargas Gutiérrez,303263120,3185148429,andrés.vargas973@example.com,OWNER,Torre 13 - Apto 305,CC,M
Diego Oscar,Ortiz Gómez,700475809,3255815221,diego.ortiz827@example.com,TENANT,Torre 7 - Apto 601,CC,M
